9.85,1.48,0.0891,,
11.9,1.52,0.0891,,
7.17,0.93,0.089,,
7.73,1.16,0.0887,,
6.4,0.87,0.0887,,
11.98,1.56,0.0887,,
7.2,1,0.0886,,
6,0.67,0.0886,,
10.11,1.53,0.0886,,
11.3,1.53,0.0885,,
8.7,1.39,0.0884,,
10.72,1.49,0.0883,,
8.6,1.41,0.0883,,
11.87,1.58,0.088,,
13.53,1.77,0.088,,
4.71,0.52,0.0878,,
5.24,0.6,0.0875,,
8.85,1.39,0.0872,,
11.15,1.46,0.0871,,
8.97,1.44,0.087,,
9.93,1.49,0.087,,
9.02,1.45,0.087,,
5.41,0.77,0.087,,
6.02,0.84,0.0869,,
9.41,1.49,0.0868,,
10.06,1.44,0.0867,,
14.63,0.99,0.0865,,
13.56,1.71,0.0865,,
12.58,1.66,0.0863,,
8.8,1.4,0.0861,,
9.75,1.48,0.0861,,
13.7,0.28,0.0861,,
11.8,1.5,0.086,,
14.57,0.44,0.0856,,
8.27,1.35,0.0854,,
14.37,1.67,0.0854,,
10.77,1.53,0.0854,,
8.6,1.31,0.0853,,
12.05,1.6,0.0853,,
13.68,1.78,0.0851,,
7.61,1.12,0.0851,,
5.19,0.65,0.0851,,
11.4,0.05,0.0849,,
14.73,0.62,0.0849,,
9.75,0.33,0.0849,,
10.04,1.48,0.0848,,
13.71,1.69,0.0845,,
14.85,1.72,0.0842,,
3.85,0.48,0.0841,,
6.59,0.94,0.084,,
4.43,0.6,0.0839,,
12.83,1.64,0.0839,,
10.9,1.54,0.0838,,
11.92,1.57,0.0838,,
11.32,1.52,0.0838,,
13.69,1.68,0.0838,,
12.67,1.65,0.0837,,
6.81,0.85,0.0837,,
8.9,1.41,0.0837,,
14.85,1.77,0.0835,,
15.65,1.1,0.0834,,
15.32,1.96,0.0834,,
14.31,0.32,0.0833,,
5.2,0.6,0.0833,,
13.31,1.51,0.0833,,
